Location UID,dir,Count,Vehicle Type,Pole ID,Node ID,dates,times
sz02oh1pc8l7f44oql,E,117,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,11:00
sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,11:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,11:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,11:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,11:00
zmtiez2quapl7f4qc8q,E,59,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,11:00
zmtiez2quapl7f4qc8q,W,34,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,11:00
zmtiez2quapl7f4qc8q,E,1,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,11:00
zmtiez2quapl7f4qc8q,W,3,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,11:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,11:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,11:00
hsq9n5wxk0ll7kno40l,W,39,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,11:00
hsq9n5wxk0ll7kno40l,E,54,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,11:00
hsq9n5wxk0ll7kno40l,W,3,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,11:00
hsq9n5wxk0ll7kno40l,E,1,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,11:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,11:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,11:00
sz02oh1pc8l7f44oql,W,132,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,12:00
sz02oh1pc8l7f44oql,E,179,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,12:00
sz02oh1pc8l7f44oql,W,1,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,12:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,12:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,12:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,12:00
zmtiez2quapl7f4qc8q,E,58,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,12:00
zmtiez2quapl7f4qc8q,W,52,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,12:00
zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,12:00
zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,12:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,12:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,12:00
hsq9n5wxk0ll7kno40l,W,50,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,12:00
hsq9n5wxk0ll7kno40l,E,64,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,12:00
hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,12:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,12:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,12:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,12:00
sz02oh1pc8l7f44oql,W,108,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,13:00
sz02oh1pc8l7f44oql,E,149,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,13:00
sz02oh1pc8l7f44oql,W,1,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,13:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,13:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,13:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,13:00
zmtiez2quapl7f4qc8q,E,50,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,13:00
zmtiez2quapl7f4qc8q,W,46,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,13:00
zmtiez2quapl7f4qc8q,E,1,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,13:00
zmtiez2quapl7f4qc8q,W,3,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,13:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,13:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,13:00
hsq9n5wxk0ll7kno40l,W,57,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,13:00
hsq9n5wxk0ll7kno40l,E,59,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,13:00
hsq9n5wxk0ll7kno40l,W,3,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,13:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,13:00
hsq9n5wxk0ll7kno40l,W,41,small_vehicle,GRR_02_ai,947bbe4010b6,10/4/2022,13:00
hsq9n5wxk0ll7kno40l,E,72,small_vehicle,GRR_02_ai,947bbe4010b6,10/4/2022,13:00
