,Location UID,dir,Count,Vehicle Type,Pole ID,Node ID,dates,times,dates_ids,poles_ids
109,sz02oh1pc8l7f44oql,E,2,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,6.0,1,1
110,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,6.0,1,1
111,sz02oh1pc8l7f44oql,E,3,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,6.0,1,1
112,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,6.0,1,1
113,sz02oh1pc8l7f44oql,E,1,bus,GRR_01_ai,947bbe401250,9/24/2022,6.0,1,1
114,zmtiez2quapl7f4qc8q,E,3,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,6.0,1,3
115,zmtiez2quapl7f4qc8q,W,4,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,6.0,1,3
116,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,6.0,1,3
117,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,6.0,1,3
118,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,6.0,1,3
119,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,6.0,1,3
120,hsq9n5wxk0ll7kno40l,W,4,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,6.0,1,2
121,hsq9n5wxk0ll7kno40l,E,4,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,6.0,1,2
122,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,6.0,1,2
123,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,6.0,1,2
124,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,6.0,1,2
125,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,6.0,1,2
126,sz02oh1pc8l7f44oql,W,9,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7.0,1,1
127,sz02oh1pc8l7f44oql,E,19,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7.0,1,1
128,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7.0,1,1
129,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7.0,1,1
130,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,7.0,1,1
131,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,7.0,1,1
132,zmtiez2quapl7f4qc8q,E,4,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7.0,1,3
133,zmtiez2quapl7f4qc8q,W,10,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7.0,1,3
134,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7.0,1,3
135,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7.0,1,3
136,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,7.0,1,3
137,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,7.0,1,3
138,hsq9n5wxk0ll7kno40l,W,10,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7.0,1,2
139,hsq9n5wxk0ll7kno40l,E,7,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7.0,1,2
140,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7.0,1,2
141,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7.0,1,2
142,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,7.0,1,2
143,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,7.0,1,2
144,sz02oh1pc8l7f44oql,W,24,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8.0,1,1
145,sz02oh1pc8l7f44oql,E,25,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8.0,1,1
146,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8.0,1,1
147,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8.0,1,1
148,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,8.0,1,1
149,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,8.0,1,1
150,zmtiez2quapl7f4qc8q,E,17,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8.0,1,3
151,zmtiez2quapl7f4qc8q,W,9,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8.0,1,3
152,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8.0,1,3
153,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8.0,1,3
154,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,8.0,1,3
155,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,8.0,1,3
156,hsq9n5wxk0ll7kno40l,W,13,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8.0,1,2
157,hsq9n5wxk0ll7kno40l,E,11,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8.0,1,2
158,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8.0,1,2
159,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8.0,1,2
160,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,8.0,1,2
161,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,8.0,1,2
162,sz02oh1pc8l7f44oql,W,47,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9.0,1,1
163,sz02oh1pc8l7f44oql,E,44,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9.0,1,1
164,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9.0,1,1
165,sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9.0,1,1
166,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,9.0,1,1
167,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,9.0,1,1
168,zmtiez2quapl7f4qc8q,E,31,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9.0,1,3
169,zmtiez2quapl7f4qc8q,W,25,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9.0,1,3
170,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9.0,1,3
171,zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9.0,1,3
172,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,9.0,1,3
173,zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,9.0,1,3
174,hsq9n5wxk0ll7kno40l,W,28,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9.0,1,2
175,hsq9n5wxk0ll7kno40l,E,31,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9.0,1,2
176,hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9.0,1,2
177,hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9.0,1,2
178,hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,9.0,1,2
179,hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,9.0,1,2
180,sz02oh1pc8l7f44oql,W,77,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10.0,1,1
181,sz02oh1pc8l7f44oql,E,87,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10.0,1,1
182,sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10.0,1,1
183,sz02oh1pc8l7f44oql,E,1,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10.0,1,1
184,sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,10.0,1,1
185,sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,10.0,1,1
186,zmtiez2quapl7f4qc8q,E,26,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10.0,1,3
187,zmtiez2quapl7f4qc8q,W,35,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10.0,1,3
188,zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10.0,1,3
189,zmtiez2quapl7f4qc8q,W,1,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10.0,1,3
190,zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,10.0,1,3
